year,patcnty,agegrp,count
2008,Ventura,Typical Aged Mothers (20 years old to 34 years old),8618
2008,Yolo,Total Births,2590
2008,Yolo,Older Mothers (35 years old or older),453
2008,Yolo,Teen Mothers (15 years old to 19 years old),221
2008,Yolo,Typical Aged Mothers (20 years old to 34 years old),1915
2008,Yuba,Total Births,1218
2008,Yuba,Older Mothers (35 years old or older),108
2008,Yuba,Teen Mothers (15 years old to 19 years old),131
2008,Yuba,Typical Aged Mothers (20 years old to 34 years old),979
2009,Alameda,Total Births,19854
2009,Alameda,Older Mothers (35 years old or older),4555
2009,Alameda,Teen Mothers (15 years old to 19 years old),1233
2009,Alameda,Typical Aged Mothers (20 years old to 34 years old),14051
2009,Butte,Total Births,2373
2009,Butte,Older Mothers (35 years old or older),271
2009,Butte,Teen Mothers (15 years old to 19 years old),232
2009,Butte,Typical Aged Mothers (20 years old to 34 years old),1867
2009,Calaveras,Total Births,324
2009,Calaveras,Older Mothers (35 years old or older),31
2009,Calaveras,Teen Mothers (15 years old to 19 years old),32
2009,Calaveras,Typical Aged Mothers (20 years old to 34 years old),260
2009,Colusa,Total Births,358
2009,Colusa,Older Mothers (35 years old or older),35
2009,Colusa,Teen Mothers (15 years old to 19 years old),41
2009,Colusa,Typical Aged Mothers (20 years old to 34 years old),282
2009,Contra Costa,Total Births,12297
2009,Contra Costa,Older Mothers (35 years old or older),2694
2009,Contra Costa,Teen Mothers (15 years old to 19 years old),747
2009,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),8848
2009,Del Norte,Total Births,299
2009,Del Norte,Older Mothers (35 years old or older),31
2009,Del Norte,Teen Mothers (15 years old to 19 years old),54
2009,Del Norte,Typical Aged Mothers (20 years old to 34 years old),213
2009,El Dorado,Total Births,1638
2009,El Dorado,Older Mothers (35 years old or older),311
2009,El Dorado,Teen Mothers (15 years old to 19 years old),111
2009,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1216
2009,Fresno,Total Births,16073
2009,Fresno,Older Mothers (35 years old or older),1806
2009,Fresno,Teen Mothers (15 years old to 19 years old),2070
2009,Fresno,Typical Aged Mothers (20 years old to 34 years old),12160
2009,Glenn,Total Births,427
2009,Glenn,Older Mothers (35 years old or older),42
2009,Glenn,Teen Mothers (15 years old to 19 years old),54
2009,Glenn,Typical Aged Mothers (20 years old to 34 years old),331
2009,Humboldt,Total Births,1476
2009,Humboldt,Older Mothers (35 years old or older),184
2009,Humboldt,Teen Mothers (15 years old to 19 years old),117
2009,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1173
2009,Imperial,Total Births,3070
2009,Imperial,Older Mothers (35 years old or older),349
2009,Imperial,Teen Mothers (15 years old to 19 years old),454
2009,Imperial,Typical Aged Mothers (20 years old to 34 years old),2260
2009,Inyo,Total Births,235
2009,Inyo,Older Mothers (35 years old or older),30
2009,Inyo,Teen Mothers (15 years old to 19 years old),22
2009,Inyo,Typical Aged Mothers (20 years old to 34 years old),183
2009,Kern,Total Births,14527
2009,Kern,Older Mothers (35 years old or older),1525
2009,Kern,Teen Mothers (15 years old to 19 years old),2120
2009,Kern,Typical Aged Mothers (20 years old to 34 years old),10863
2009,Kings,Total Births,2237
2009,Kings,Older Mothers (35 years old or older),196
2009,Kings,Teen Mothers (15 years old to 19 years old),318
2009,Kings,Typical Aged Mothers (20 years old to 34 years old),1723
2009,Lake,Total Births,703
2009,Lake,Older Mothers (35 years old or older),75
2009,Lake,Teen Mothers (15 years old to 19 years old),88
2009,Lake,Typical Aged Mothers (20 years old to 34 years old),540
2009,Lassen,Total Births,311
2009,Lassen,Older Mothers (35 years old or older),24
2009,Lassen,Teen Mothers (15 years old to 19 years old),35
2009,Lassen,Typical Aged Mothers (20 years old to 34 years old),252
2009,Los Angeles,Total Births,136801
2009,Los Angeles,Older Mothers (35 years old or older),26377
2009,Los Angeles,Teen Mothers (15 years old to 19 years old),13059
2009,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),97231
2009,Madera,Total Births,2499
2009,Madera,Older Mothers (35 years old or older),259
2009,Madera,Teen Mothers (15 years old to 19 years old),331
2009,Madera,Typical Aged Mothers (20 years old to 34 years old),1903
2009,Marin,Total Births,2385
2009,Marin,Older Mothers (35 years old or older),909
2009,Marin,Teen Mothers (15 years old to 19 years old),81
2009,Marin,Typical Aged Mothers (20 years old to 34 years old),1392
2009,Mendocino,Total Births,1055
2009,Mendocino,Older Mothers (35 years old or older),115
2009,Mendocino,Teen Mothers (15 years old to 19 years old),108
2009,Mendocino,Typical Aged Mothers (20 years old to 34 years old),830
2009,Merced,Total Births,4320
2009,Merced,Older Mothers (35 years old or older),484
2009,Merced,Teen Mothers (15 years old to 19 years old),572
2009,Merced,Typical Aged Mothers (20 years old to 34 years old),3257
2009,Monterey,Total Births,6738
2009,Monterey,Older Mothers (35 years old or older),970
2009,Monterey,Teen Mothers (15 years old to 19 years old),767
2009,Monterey,Typical Aged Mothers (20 years old to 34 years old),4988
2009,Napa,Total Births,1601
2009,Napa,Older Mothers (35 years old or older),305
2009,Napa,Teen Mothers (15 years old to 19 years old),108
2009,Napa,Typical Aged Mothers (20 years old to 34 years old),1186
2009,Nevada,Total Births,698
2009,Nevada,Older Mothers (35 years old or older),116
2009,Nevada,Teen Mothers (15 years old to 19 years old),31
2009,Nevada,Typical Aged Mothers (20 years old to 34 years old),550
2009,Orange,Total Births,39384
2009,Orange,Older Mothers (35 years old or older),8354
2009,Orange,Teen Mothers (15 years old to 19 years old),2713
